Dokumen_ID,Nama_Dokumen,Pengacara_ID,Kasus_ID,Tanggal_Upload,Staf_ID,URL_Doc
900001,Jawaban Gugatan Kasus ID 500001,237,500001,2024-03-10,47,https://doc_storage.com/500001_fafc653c.pdf
900002,Putusan Pengadilan Kasus ID 500002,174,500002,2025-04-09,263,https://doc_storage.com/500002_1fe5116e.pdf
900003,Surat Kuasa Kasus ID 500003,107,500003,2025-03-18,586,https://doc_storage.com/500003_78b3cb98.pdf
900004,Bukti-Bukti Kasus ID 500004,196,500004,2026-07-04,935,https://doc_storage.com/500004_eab0d54a.pdf
900005,Gugatan Kasus ID 500005,706,500005,2025-03-18,730,https://doc_storage.com/500005_1546287d.pdf
900006,Resume Kasus Kasus ID 500006,864,500006,2026-12-06,383,https://doc_storage.com/500006_a2e6d8bd.pdf
900007,Gugatan Kasus ID 500007,493,500007,2025-07-19,427,https://doc_storage.com/500007_df9d4630.pdf
900008,Eksepsi Kasus ID 500008,262,500008,2026-09-24,628,https://doc_storage.com/500008_9018d34c.pdf
900009,Gugatan Kasus ID 500009,23,500009,2026-12-28,804,https://doc_storage.com/500009_2096c7a5.pdf
900010,Bukti-Bukti Kasus ID 500010,251,500010,2026-12-08,687,https://doc_storage.com/500010_dc710ce1.pdf
900011,Eksepsi Kasus ID 500011,522,500011,2026-09-21,285,https://doc_storage.com/500011_c1eae78f.pdf
900012,Eksepsi Kasus ID 500012,98,500012,2026-07-02,440,https://doc_storage.com/500012_65574593.pdf
900013,Bukti-Bukti Kasus ID 500013,449,500013,2026-12-20,28,https://doc_storage.com/500013_37ed853b.pdf
900014,Bukti-Bukti Kasus ID 500014,83,500014,2026-08-17,465,https://doc_storage.com/500014_ca0fa530.pdf
900015,Gugatan Kasus ID 500015,942,500015,2024-09-15,61,https://doc_storage.com/500015_1467ed67.pdf
900016,Resume Kasus Kasus ID 500016,572,500016,2026-07-28,442,https://doc_storage.com/500016_591382b3.pdf
900017,Jawaban Gugatan Kasus ID 500017,167,500017,2023-10-10,811,https://doc_storage.com/500017_d4dc1c07.pdf
900018,Surat Kuasa Kasus ID 500018,483,500018,2024-02-08,441,https://doc_storage.com/500018_60c2921d.pdf
900019,Surat Kuasa Kasus ID 500019,921,500019,2024-07-07,679,https://doc_storage.com/500019_7c6b4c6d.pdf
900020,Jawaban Gugatan Kasus ID 500020,247,500020,2026-04-12,44,https://doc_storage.com/500020_2365901d.pdf
900021,Bukti-Bukti Kasus ID 500021,210,500021,2026-09-30,984,https://doc_storage.com/500021_39c49770.pdf
900022,Surat Kuasa Kasus ID 500022,693,500022,2026-06-17,837,https://doc_storage.com/500022_9d69c31d.pdf
900023,Bukti-Bukti Kasus ID 500023,538,500023,2024-04-28,532,https://doc_storage.com/500023_f96a9798.pdf
900024,Resume Kasus Kasus ID 500024,255,500024,2025-01-19,822,https://doc_storage.com/500024_5dac8fdf.pdf
900025,Eksepsi Kasus ID 500025,116,500025,2023-10-18,117,https://doc_storage.com/500025_31ce64fc.pdf
900026,Putusan Pengadilan Kasus ID 500026,397,500026,2026-09-18,502,https://doc_storage.com/500026_6d21017b.pdf
