Dokumen_ID,Nama_Dokumen,Pengacara_ID,Kasus_ID,Tanggal_Upload,Staf_ID,URL_Doc
9001,Surat Kuasa Klien 1001,2,5001,2024-02-12,1,https://doc.com/sk5001
9002,Berkas Bukti Pidana,1,5002,2024-03-25,2,https://doc.com/bb5002
9003,Draf Perjanjian Awal,3,5003,2024-05-10,3,https://doc.com/dpa5003
9004,Putusan Mediasi Waris,4,5004,2024-08-30,4,https://doc.com/pmw5004
9005,Dokumen Pendaftaran Merek,3,5005,2024-08-05,5,https://doc.com/dpm5005
9006,Gugatan PHK,8,5006,2024-09-15,6,https://doc.com/gphk5006
9007,Laporan Audit Awal,7,5007,2024-12-05,7,https://doc.com/laa5007
9008,Surat Panggilan Pengadilan,9,5008,2025-01-25,8,https://doc.com/spp5008
9009,Tuntutan Ganti Rugi,6,5009,2025-04-10,9,https://doc.com/tgr5009
9010,Memori Banding PTUN,5,5010,2025-06-10,10,https://doc.com/mbp5010
